Date,Time,Speed_limit_kmph,Speed_kmph,Plate_text,Plate_image
2025-09-01,19:55:07,30.00,55.00,TEST123,static/captures/dummy_20250901_195507.jpg
2025-09-02,08:15:23,40.00,65.00,ABC1234,static/captures/dummy_20250902_081523.jpg
2025-09-02,12:45:12,30.00,48.00,XYZ5678,static/captures/dummy_20250902_124512.jpg
2025-09-03,14:22:45,50.00,72.00,DEF9012,static/captures/dummy_20250903_142245.jpg
2025-09-03,16:30:18,30.00,42.00,GHI3456,static/captures/dummy_20250903_163018.jpg
2025-09-04,09:12:33,40.00,58.00,JKL7890,static/captures/dummy_20250904_091233.jpg
2025-09-04,17:45:27,30.00,51.00,MNO1234,static/captures/dummy_20250904_174527.jpg
2025-09-05,11:20:15,50.00,68.00,PQR5678,static/captures/dummy_20250905_112015.jpg
2025-09-05,13:55:42,30.00,45.00,STU9012,static/captures/dummy_20250905_135542.jpg
2025-09-06,10:08:56,40.00,62.00,VWX3456,static/captures/dummy_20250906_100856.jpg,
2025-09-02,08:15:23,40.00,65.00,ABC1234,static/captures\dummy_20250902_081523.jpg
2025-09-02,12:45:12,30.00,48.00,XYZ5678,static/captures\dummy_20250902_124512.jpg
2025-09-03,14:22:45,50.00,72.00,DEF9012,static/captures\dummy_20250903_142245.jpg
2025-09-03,16:30:18,30.00,42.00,GHI3456,static/captures\dummy_20250903_163018.jpg
2025-09-04,09:12:33,40.00,58.00,JKL7890,static/captures\dummy_20250904_091233.jpg
2025-09-04,17:45:27,30.00,51.00,MNO1234,static/captures\dummy_20250904_174527.jpg
2025-09-05,11:20:15,50.00,68.00,PQR5678,static/captures\dummy_20250905_112015.jpg
2025-09-05,13:55:42,30.00,45.00,STU9012,static/captures\dummy_20250905_135542.jpg
2025-09-06,10:08:56,40.00,62.00,VWX3456,static/captures\dummy_20250906_100856.jpg
